stock_id,name,entry_date,exit_date,entry_price,exit_price,realized_pnl_pct,stoploss_triggered,exit_reason,score
3441,聯一光,2016-07-01,2016-08-01,13.8,14.55,0.04850532608695654,False,Normal Rebalance Exit,0.12639935420452036
3522,御嵿,2016-07-01,2016-08-01,29.5,49.0,0.6551744491525424,False,Normal Rebalance Exit,0.20403546433818243
3535,晶彩科,2016-07-01,2016-08-01,14.8,18.2,0.2238872297297296,False,Normal Rebalance Exit,0.13164615744699656
3541,西柏,2016-07-01,2016-08-01,102.0,147.0,0.4353339705882353,False,Normal Rebalance Exit,0.11609156284758672
4188,安克,2016-07-01,2016-08-01,33.05,31.5,-0.05274113842662623,False,Normal Rebalance Exit,0.1312863497487489
4546,長亨,2016-07-01,2016-08-01,100.29,182.0,0.8088947619403728,False,Normal Rebalance Exit,0.1717577842126078
4743,合一,2016-07-01,2016-07-18,30.0,0.0,-0.5,True,Stop Loss / Trailing Stop,0.16246678110810375
5484,慧友,2016-07-01,2016-08-01,5.65,7.37,0.2985822787610619,False,Normal Rebalance Exit,0.23436102522544422
6124,業強,2016-07-01,2016-08-01,20.1,21.5,0.06380924129353224,False,Normal Rebalance Exit,0.1216020225401018
6165,浪凡,2016-07-01,2016-07-04,9.66,0.0,-0.5,True,Stop Loss / Trailing Stop,0.16103756898241778
6227,茂綸,2016-07-01,2016-08-01,28.85,32.5,0.12067396447140386,False,Normal Rebalance Exit,0.11932018860008113
6241,易通展,2016-07-01,2016-08-01,19.25,25.5,0.3188328246753247,False,Normal Rebalance Exit,0.1924400203829007
6264,富裔,2016-07-01,2016-07-07,11.0,10.1,-0.0876606818181819,True,Stop Loss / Trailing Stop,0.1332058617911041
8358,金居,2016-07-01,2016-08-01,20.65,24.5,0.18059817796610186,False,Normal Rebalance Exit,0.35522445283005605
1225,福懋油,2016-08-01,2016-09-01,50.9,49.35,-0.03629436640471509,False,Normal Rebalance Exit,0.10819100460677805
1515,力山,2016-08-01,2016-08-08,15.2,14.0,-0.08478986842105254,True,Stop Loss / Trailing Stop,0.04347655693478208
1524,耿鼎,2016-08-01,2016-09-01,10.45,11.0,0.046789078947368584,False,Normal Rebalance Exit,0.03710309449162942
1815,富喬,2016-08-01,2016-09-01,13.3,13.35,-0.0020831015037594816,False,Normal Rebalance Exit,0.04253924833296355
2641,正德,2016-08-01,2016-08-12,11.25,10.35,-0.08584250000000007,True,Stop Loss / Trailing Stop,0.08172207603946971
2643,捷迅,2016-08-01,2016-09-01,45.1,43.3,-0.04575380820399125,False,Normal Rebalance Exit,0.03926499403194869
3073,天方能源,2016-08-01,2016-08-10,15.05,13.45,-0.11215479235880413,True,Stop Loss / Trailing Stop,0.04953730677315998
3188,鑫龍騰,2016-08-01,2016-09-01,16.5,16.8,0.012339318181818298,False,Normal Rebalance Exit,0.06751848112218686
3207,耀勝,2016-08-01,2016-08-23,11.25,10.4,-0.08139805555555549,True,Stop Loss / Trailing Stop,0.09569171427152717
3232,昱捷,2016-08-01,2016-08-15,23.35,20.5,-0.12789817451820132,True,Stop Loss / Trailing Stop,0.10197608052067743
3276,宇環,2016-08-01,2016-09-01,16.15,16.3,0.003445425696594535,False,Normal Rebalance Exit,0.13671836237090174
3284,太普高,2016-08-01,2016-08-22,17.8,16.5,-0.07887620786516861,True,Stop Loss / Trailing Stop,0.17361758526779886
3362,先進光,2016-08-01,2016-09-01,22.6,22.05,-0.03017878318584069,False,Normal Rebalance Exit,0.1228772837702302
3540,曜越,2016-08-01,2016-08-17,21.3,19.05,-0.11147630281690138,True,Stop Loss / Trailing Stop,0.03758561836447345
3555,博士旺,2016-08-01,2016-08-09,38.05,35.0,-0.08600018725361361,True,Stop Loss / Trailing Stop,0.09800389653818838
5484,慧友,2016-08-01,2016-09-01,7.37,8.69,0.17326197761194015,False,Normal Rebalance Exit,0.06643052069360066
6264,富裔,2016-08-01,2016-08-04,12.0,11.15,-0.0766758333333333,True,Stop Loss / Trailing Stop,0.055822702727560285
6534,正瀚-創,2016-08-01,2016-08-04,442.0,410.65,-0.07677010180995483,True,Stop Loss / Trailing Stop,0.04618807297123802
8277,商丞,2016-08-01,2016-08-10,13.05,11.2,-0.14760495210727978,True,Stop Loss / Trailing Stop,0.07411477801229417
8358,金居,2016-08-01,2016-09-01,24.5,27.15,0.10232076530612241,False,Normal Rebalance Exit,0.09168307801786386
2017,官田鋼,2016-09-01,2016-09-26,8.88,8.14,-0.08917583333333337,True,Stop Loss / Trailing Stop,0.08667973016897419
2337,旺宏,2016-09-01,2016-09-14,4.2,3.82,-0.0963186904761906,True,Stop Loss / Trailing Stop,0.10917623740638423
3073,天方能源,2016-09-01,2016-09-02,12.9,11.9,-0.08336187984496127,True,Stop Loss / Trailing Stop,0.10177502892929688
3188,鑫龍騰,2016-09-01,2016-09-05,16.8,15.4,-0.08917583333333337,True,Stop Loss / Trailing Stop,0.19574621623017244
3236,千如,2016-09-01,2016-10-03,22.6,27.5,0.2109716592920354,False,Normal Rebalance Exit,0.12955884980275872
3276,宇環,2016-09-01,2016-10-03,16.3,16.4,0.0002924693251533392,False,Normal Rebalance Exit,0.09418564935542185
3557,嘉威,2016-09-01,2016-10-03,5.22,5.06,-0.03649384099616862,False,Normal Rebalance Exit,0.09747620505844051
3603,建祥國際,2016-09-01,2016-09-13,3.5,3.2,-0.09155678571428563,True,Stop Loss / Trailing Stop,0.14658476461902137
3625,西勝,2016-09-01,2016-10-03,14.95,16.2,0.07776954013377921,False,Normal Rebalance Exit,0.13482142462580646
4729,熒茂,2016-09-01,2016-09-21,15.75,14.55,-0.08203297619047614,True,Stop Loss / Trailing Stop,0.08258111684656715
4976,佳凌,2016-09-01,2016-09-12,22.75,20.85,-0.08935898351648344,True,Stop Loss / Trailing Stop,0.09322003692264406
5484,慧友,2016-09-01,2016-09-10,8.69,7.89,-0.09790233889528191,True,Stop Loss / Trailing Stop,0.17597278215074375
6126,信音,2016-09-01,2016-10-03,11.8,11.3,-0.0482153813559322,False,Normal Rebalance Exit,0.07901581825194647
6165,浪凡,2016-09-01,2016-10-03,14.6,19.45,0.3263492808219177,False,Normal Rebalance Exit,0.11484951715942575
6241,易通展,2016-09-01,2016-10-03,12.8,15.3,0.18947,False,Normal Rebalance Exit,0.08557138971479712
6534,正瀚-創,2016-09-01,2016-10-03,490.0,481.9,-0.022373112244898047,False,Normal Rebalance Exit,0.10532161967966933
8068,全達,2016-09-01,2016-10-03,18.0,22.35,0.2358241666666667,False,Normal Rebalance Exit,0.09628327960155719
8358,金居,2016-09-01,2016-10-03,27.15,28.9,0.0586142219152854,False,Normal Rebalance Exit,0.08128717013482363
9906,欣巴巴,2016-09-01,2016-09-14,18.75,16.85,-0.10717583333333328,True,Stop Loss / Trailing Stop,0.07749934162797602
9955,佳龍,2016-09-01,2016-10-03,18.6,17.6,-0.059605940860215006,False,Normal Rebalance Exit,0.08609897522463147
1417,嘉裕,2016-10-03,2016-11-01,5.48,5.43,-0.01496658759124106,False,Normal Rebalance Exit,0.12975594153128206
1512,瑞利,2016-10-03,2016-10-12,5.27,4.85,-0.08553889468690704,True,Stop Loss / Trailing Stop,0.1851070442173931
3557,嘉威,2016-10-03,2016-10-14,5.06,4.4,-0.13627728260869557,True,Stop Loss / Trailing Stop,0.2228301984595096
3580,友威科,2016-10-03,2016-11-01,18.9,28.95,0.5259035317460319,False,Normal Rebalance Exit,0.3141295470399028
5201,凱衛,2016-10-03,2016-11-01,19.6,29.3,0.4890554591836733,False,Normal Rebalance Exit,0.1991856178801039
5302,太欣,2016-10-03,2016-11-01,5.42,6.55,0.20264458487084866,False,Normal Rebalance Exit,0.1279049378566521
5903,全家,2016-10-03,2016-10-21,222.0,0.0,-0.5,True,Stop Loss / Trailing Stop,0.14236318020119615
