feature,horizon,ic_mean,ic_std,icir,win_rate,n_dates
theme_return_20,10d,0.025061153872069968,0.08028168353159071,0.312165275684689,0.580952380952381,105
theme_return_20,20d,0.038496532360547585,0.07509881186033426,0.5126117365497324,0.6631578947368421,95
fund_revenue_mom,5d,0.004823853642423943,0.030644177910366995,0.1574150122915199,0.5818181818181818,110
fund_revenue_mom,10d,0.005572645218883851,0.029083188372081136,0.19161053277890946,0.5904761904761905,105
fund_revenue_mom,20d,0.02353328518646872,0.029437296796328557,0.7994377115973438,0.8315789473684211,95
fund_revenue_yoy,5d,0.011440417567517763,0.05853710095866798,0.19543874534537747,0.5909090909090909,110
fund_revenue_yoy,10d,0.011499178687892984,0.04538398386968584,0.2533752594508091,0.5714285714285714,105
fund_revenue_yoy,20d,0.014914585174880295,0.028013526262447217,0.5324065608574827,0.6842105263157895,95
market_rel_ret_20,5d,,,,,0
market_rel_ret_20,10d,,,,,0
market_rel_ret_20,20d,,,,,0
trend_persistence,5d,-0.04198968078409632,0.05287035012232953,-0.7942009214416414,0.19090909090909092,110
trend_persistence,10d,-0.04540466946186288,0.039469603469006354,-1.1503705502771788,0.08571428571428572,105
trend_persistence,20d,-0.04871283405117124,0.03825228549780712,-1.273462053763135,0.09473684210526316,95
margin_short_ratio,5d,0.015213347057038182,0.13369304140699048,0.11379311067301902,0.5363636363636364,110
margin_short_ratio,10d,0.018934501899912557,0.11089824007206306,0.17073762295604225,0.6,105
margin_short_ratio,20d,0.03535427319548895,0.07459166874416226,0.4739708038540949,0.6631578947368421,95
foreign_buy_ratio_5,5d,-0.011937017004448056,0.04739918357072491,-0.25184013953819867,0.38181818181818183,110
foreign_buy_ratio_5,10d,-0.007466388546770287,0.04234549629447055,-0.1763207235746873,0.45714285714285713,105
foreign_buy_ratio_5,20d,-0.02254984299445598,0.03982677866254615,-0.566198014293892,0.30526315789473685,95
short_balance_chg_5,5d,-0.01020059464352647,0.041938413656786175,-0.243227956283842,0.42727272727272725,110
short_balance_chg_5,10d,-0.00474500566413266,0.03283402846673521,-0.14451487940140875,0.42857142857142855,105
short_balance_chg_5,20d,7.59741468643057e-05,0.032387995910211305,0.0023457501685169883,0.45263157894736844,95
foreign_buy_ratio_20,5d,-0.017050882771657106,0.04228070443352886,-0.4032781146885446,0.3,110
foreign_buy_ratio_20,10d,-0.026098817272229013,0.03697987615868503,-0.7057572924321297,0.22857142857142856,105
foreign_buy_ratio_20,20d,-0.04066938385379348,0.028583967051791795,-1.4228040418638848,0.042105263157894736,95
foreign_buy_streak_5,5d,0.013752456394641089,0.07723879561410725,0.17805115014156533,0.5636363636363636,110
foreign_buy_streak_5,10d,0.021516653057177003,0.06684676047519518,0.3218802662121702,0.6666666666666666,105
foreign_buy_streak_5,20d,0.025752032978711755,0.04357843075086566,0.5909352983803852,0.7473684210526316,95
margin_balance_chg_5,5d,-0.017133402989393285,0.0413064251835669,-0.4147878426480134,0.3,110
margin_balance_chg_5,10d,-0.01551326826594952,0.03258773411224675,-0.476046239131413,0.3142857142857143,105
margin_balance_chg_5,20d,-0.003748174861435513,0.03582081019857641,-0.10463679745536503,0.4421052631578947,95
short_balance_chg_20,5d,-0.00946081309885704,0.03880837703837236,-0.24378275570510258,0.43636363636363634,110
short_balance_chg_20,10d,-0.006919284619410132,0.04011783288711598,-0.17247403764006136,0.45714285714285713,105
short_balance_chg_20,20d,-0.007256881413747369,0.03736164251045299,-0.19423346850227602,0.35789473684210527,95
theme_turnover_ratio,5d,0.02936811509364376,0.13564431753821735,0.21650825944381627,0.6,110
theme_turnover_ratio,10d,0.04955966543703308,0.11548499204772351,0.4291437749465561,0.6666666666666666,105
theme_turnover_ratio,20d,0.07526710571481522,0.0923108300284427,0.8153659293457117,0.8105263157894737,95
fund_revenue_trend_3m,5d,0.003741004291424821,0.061166530237538215,0.061160969518734405,0.5181818181818182,110
fund_revenue_trend_3m,10d,-8.6319384544256e-05,0.0460196791701258,-0.0018757059175738716,0.4857142857142857,105
fund_revenue_trend_3m,20d,-0.004416983347606964,0.03130933853261143,-0.14107558813503157,0.4105263157894737,95
margin_balance_chg_20,5d,-0.009911227963993909,0.03765951497762042,-0.2631799153516386,0.35454545454545455,110
margin_balance_chg_20,10d,-0.0026783270883864434,0.04045470016863494,-0.06620558494369921,0.4857142857142857,105
margin_balance_chg_20,20d,0.009678469478815796,0.04055624371856568,0.23864314323530966,0.631578947368421,95
chip_flow_intensity_20,5d,-0.021846237849872868,0.046420265443810935,-0.4706185464690305,0.2909090909090909,110
chip_flow_intensity_20,10d,-0.03219954505107298,0.03625471750128132,-0.8881477300143072,0.21904761904761905,105
chip_flow_intensity_20,20d,-0.04483284181660178,0.02497613999917587,-1.7950268463453967,0.042105263157894736,95
